,title,score,visitor,blog,address,alt,lon
58,데이드리밍,None,57,16,전북 전주시 덕진구 명륜1길 14-2,35.84080064,127.1297852
59,오또,4.67,44,11,전북 전주시 덕진구 건지로 10-8 1층 오또,35.84464039,127.1427843
60,팁탭,4.56,53,166,전북 전주시 덕진구 들사평1길 46,35.83695741,127.123281
61,세븐웰즈,4.83,87,15,전북 전주시 덕진구 백제대로 556-17,35.8389538,127.1319181
62,어바웃타임,4.85,72,3,전북 전주시 덕진구 덕진광장로 1-1 1층,35.84421591,127.123676
63,가든온더케이크,None,3,36,전북 전주시 덕진구 들사평3길 19,35.8404093,127.1232059
64,더써드로스터스,4.26,113,13,전북 전주시 덕진구 건지로 12,35.84478915,127.1427407
65,던킨 전주고속터미널점,4.34,480,6,"전북 전주시 덕진구 전주천동로 469 470, 1층(금암동, 고속터미널)",None,None
66,오늘의날씨,4.61,246,78,전북 전주시 덕진구 송천중앙로 130 송학아파트 상가건물 오늘의날씨,35.85843308,127.1212371
67,이디야커피 전주사대부고점,4.48,46,3,전북 전주시 덕진구 삼송5길 14-23,35.84374595,127.1381133
68,피코엘로,4.7,164,151,전북 전주시 덕진구 솔내로 108 301호,35.85964817,127.1268079
69,플레잉빈커피,4.65,88,22,전북 전주시 덕진구 명륜4길 20,35.84347653,127.1272027
70,초심스터디카페 전북대점,4.86,176,2,전북 전주시 덕진구 명륜3길 9 2층 초심스터디카페 전북대점,35.84228608,127.1271818
71,길위의커피,4.57,231,52,전북 전주시 덕진구 명륜1길 14-5 1층,35.84072379,127.1301803
72,어라운드,4.39,62,10,전북 전주시 덕진구 건지3길 8,35.84482887,127.1442707
73,뚜레쥬르 전북대사대부고점,4.42,545,2,전북 전주시 덕진구 조경단로 107,35.84384068,127.1383348
74,팬도로시 전북대점,4.4,312,8,전북 전주시 덕진구 창포길 93 전북대학교생활관,35.85049406,127.1273008
75,달달한오후,None,250,33,전북 전주시 덕진구 송천로 1 센트럴파크 단독상가동 106호,35.85298273,127.1189031
76,유진의 미,4.91,59,29,전북 전주시 덕진구 솔내5길 8,35.85763453,127.1214583
77,카페베네 전북대점,None,4,36,"전북 전주시 덕진구 명륜4길 17 1,2,3층",None,None
78,바자르[Bazaar],None,23,6,전북 전주시 덕진구 권삼득로 297 1층,35.8428635,127.1288062
79,카운드리,4.28,84,21,전북 전주시 덕진구 건지4길 10-37 카운드리,35.84610255,127.146634
80,플루800 전북대점,None,79,None,전북 전주시 덕진구 명륜4길 25 1층,35.84405899,127.1272177
81,왓커피 금암점,4.79,60,2,전북 전주시 덕진구 기린대로 400-5,35.83813682,127.1324063
82,엔제리너스 전주백제로점,4.25,251,9,전북 전주시 덕진구 백제대로 686,35.84371812,127.1443847
83,BAD VR 전북대점,None,5,8,전북 전주시 덕진구 백제대로 563 코앞빌딩 B1,35.84092501,127.1311983
84,브리즈번,None,9,5,전북 전주시 덕진구 명륜1길 13-5,35.8412188,127.1293869
85,로반프린트카페 전북대점,None,1,None,전북 전주시 덕진구 삼송3길 45 1층,35.84395088,127.1375705
86,러블리패럿,4.5,14,3,전북 전주시 덕진구 기린대로 544,35.84654521,127.1201142
87,찰스비,4.55,94,63,전북 전주시 덕진구 명륜2길 16-2,35.84171168,127.1289024
88,노랑카페,4.52,111,108,전북 전주시 완산구 여울로 35 길 노랑빌딩 노랑카페 1층2층,35.83618523,127.1197796
89,크럼비커피,None,34,12,전북 전주시 덕진구 떡전로 6 코지팰리스 101호,35.83570673,127.1286967
90,페더럴,None,79,159,전북 전주시 덕진구 팔달로 349 1층,35.83155371,127.1380617
