,title,score,visitor,blog,address,alt,lon
0,S-OIL 시티주유소,4.23,633,"2,045",전북 전주시 덕진구 백제대로 629 (금암동),35.84278377,127.1381107
1,현대오일뱅크 대림싼주유소,4.38,885,"2,129",전북 전주시 덕진구 들사평서로 17,35.83753109,127.1201342
2,S-OIL 구도일주유소 덕진,4.3,"1,931",2,전북 전주시 덕진구 가련산로 39 (덕진동2가),35.84306016,127.1121725
3,현대오일뱅크 어울림주유소,4.27,205,1,전북 전주시 덕진구 심방죽로 63 (인후동2가),35.8415584,127.1515154
4,현대오일뱅크 은혜충전소,4.44,333,None,전북 전주시 덕진구 신복로 2 스카이에너지,35.85265201,127.1123098
